SampleID,HmGene,Chr,Start,HPVType,HPVStart,HPVGene,Support,Split,HmStrand,HPVStrand,Source,annot,from,SampleID_HPV,SampleID_HmGene,sample_chr_start,total_read,HmGene_chr_start_annot,unique_ID
GS18010T,BRD9,chr5,742972,HPV16,2775,"E1,E2",1,2,+,+,CTAT_VIF,right_two,neargenes,GS18010T_HPV16,GS18010T_BRD9,GS18010T_chr5_742972,3,BRD9_chr5_742972_right_two_HPV16_2775,GS18010T_BRD9_chr5_742972_HPV16_2775
TCGA-CV-5971-01A,EDIL3,chr5,85324229,HPV16,2059,E1,25,2,+,+,CTAT_VIF,integration,neargenes,TCGA-CV-5971-01A_HPV16,TCGA-CV-5971-01A_EDIL3,TCGA-CV-5971-01A_chr5_85324229,27,EDIL3_chr5_85324229_integration_HPV16_2059,TCGA-CV-5971-01A_EDIL3_chr5_85324229_HPV16_2059
TCGA-CV-5971-01A,HAPLN1,chr5,85324229,HPV16,2059,E1,25,2,+,+,CTAT_VIF,left_one,neargenes,TCGA-CV-5971-01A_HPV16,TCGA-CV-5971-01A_HAPLN1,TCGA-CV-5971-01A_chr5_85324229,27,HAPLN1_chr5_85324229_left_one_HPV16_2059,TCGA-CV-5971-01A_HAPLN1_chr5_85324229_HPV16_2059
TCGA-CV-5971-01A,COX7C,chr5,85324229,HPV16,2059,E1,25,2,+,+,CTAT_VIF,right_one,neargenes,TCGA-CV-5971-01A_HPV16,TCGA-CV-5971-01A_COX7C,TCGA-CV-5971-01A_chr5_85324229,27,COX7C_chr5_85324229_right_one_HPV16_2059,TCGA-CV-5971-01A_COX7C_chr5_85324229_HPV16_2059
TCGA-CV-5971-01A,VCAN,chr5,85324229,HPV16,2059,E1,25,2,+,+,CTAT_VIF,left_two,neargenes,TCGA-CV-5971-01A_HPV16,TCGA-CV-5971-01A_VCAN,TCGA-CV-5971-01A_chr5_85324229,27,VCAN_chr5_85324229_left_two_HPV16_2059,TCGA-CV-5971-01A_VCAN_chr5_85324229_HPV16_2059
TCGA-CV-5971-01A,LINC02059,chr5,85324229,HPV16,2059,E1,25,2,+,+,CTAT_VIF,right_two,neargenes,TCGA-CV-5971-01A_HPV16,TCGA-CV-5971-01A_LINC02059,TCGA-CV-5971-01A_chr5_85324229,27,LINC02059_chr5_85324229_right_two_HPV16_2059,TCGA-CV-5971-01A_LINC02059_chr5_85324229_HPV16_2059
TCGA-HD-A634-01A,SLCO4C1,chr5,102227043,HPV16,4220,"",0,43,+,+,CTAT_VIF,integration,neargenes,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_SLCO4C1,TCGA-HD-A634-01A_chr5_102227043,43,SLCO4C1_chr5_102227043_integration_HPV16_4220,TCGA-HD-A634-01A_SLCO4C1_chr5_102227043_HPV16_4220
TCGA-HD-A634-01A,ST8SIA4,chr5,102227043,HPV16,4220,"",0,43,+,+,CTAT_VIF,left_one,neargenes,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_ST8SIA4,TCGA-HD-A634-01A_chr5_102227043,43,ST8SIA4_chr5_102227043_left_one_HPV16_4220,TCGA-HD-A634-01A_ST8SIA4_chr5_102227043_HPV16_4220
TCGA-HD-A634-01A,SLCO6A1,chr5,102227043,HPV16,4220,"",0,43,+,+,CTAT_VIF,right_one,neargenes,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_SLCO6A1,TCGA-HD-A634-01A_chr5_102227043,43,SLCO6A1_chr5_102227043_right_one_HPV16_4220,TCGA-HD-A634-01A_SLCO6A1_chr5_102227043_HPV16_4220
TCGA-HD-A634-01A,MIR548P,chr5,102227043,HPV16,4220,"",0,43,+,+,CTAT_VIF,left_two,neargenes,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_MIR548P,TCGA-HD-A634-01A_chr5_102227043,43,MIR548P_chr5_102227043_left_two_HPV16_4220,TCGA-HD-A634-01A_MIR548P_chr5_102227043_HPV16_4220
TCGA-HD-A634-01A,LINC00492,chr5,102227043,HPV16,4220,"",0,43,+,+,CTAT_VIF,right_two,neargenes,TCGA-HD-A634-01A_HPV16,TCGA-HD-A634-01A_LINC00492,TCGA-HD-A634-01A_chr5_102227043,43,LINC00492_chr5_102227043_right_two_HPV16_4220,TCGA-HD-A634-01A_LINC00492_chr5_102227043_HPV16_4220
GS18068T,SSR1,chr6,7264400,HPV16,2656,E1,88,113,+,-,CTAT_VIF,integration,neargenes,GS18068T_HPV16,GS18068T_SSR1,GS18068T_chr6_7264400,201,SSR1_chr6_7264400_integration_HPV16_2656,GS18068T_SSR1_chr6_7264400_HPV16_2656
GS18068T,RREB1,chr6,7264400,HPV16,2656,E1,88,113,+,-,CTAT_VIF,left_one,neargenes,GS18068T_HPV16,GS18068T_RREB1,GS18068T_chr6_7264400,201,RREB1_chr6_7264400_left_one_HPV16_2656,GS18068T_RREB1_chr6_7264400_HPV16_2656
GS18068T,CAGE1,chr6,7264400,HPV16,2656,E1,88,113,+,-,CTAT_VIF,right_one,neargenes,GS18068T_HPV16,GS18068T_CAGE1,GS18068T_chr6_7264400,201,CAGE1_chr6_7264400_right_one_HPV16_2656,GS18068T_CAGE1_chr6_7264400_HPV16_2656
GS18068T,LY86,chr6,7264400,HPV16,2656,E1,88,113,+,-,CTAT_VIF,left_two,neargenes,GS18068T_HPV16,GS18068T_LY86,GS18068T_chr6_7264400,201,LY86_chr6_7264400_left_two_HPV16_2656,GS18068T_LY86_chr6_7264400_HPV16_2656
GS18068T,F13A1,chr6,7264400,HPV16,2656,E1,88,113,+,-,CTAT_VIF,right_two,neargenes,GS18068T_HPV16,GS18068T_F13A1,GS18068T_chr6_7264400,201,F13A1_chr6_7264400_right_two_HPV16_2656,GS18068T_F13A1_chr6_7264400_HPV16_2656
GS18087T,MYO6,chr6,75851486,HPV16,3172,E2,338,179,+,-,CTAT_VIF,integration,neargenes,GS18087T_HPV16,GS18087T_MYO6,GS18087T_chr6_75851486,517,MYO6_chr6_75851486_integration_HPV16_3172,GS18087T_MYO6_chr6_75851486_HPV16_3172
GS18087T,SENP6,chr6,75851486,HPV16,3172,E2,338,179,+,-,CTAT_VIF,left_one,neargenes,GS18087T_HPV16,GS18087T_SENP6,GS18087T_chr6_75851486,517,SENP6_chr6_75851486_left_one_HPV16_3172,GS18087T_SENP6_chr6_75851486_HPV16_3172
GS18087T,IMPG1,chr6,75851486,HPV16,3172,E2,338,179,+,-,CTAT_VIF,right_one,neargenes,GS18087T_HPV16,GS18087T_IMPG1,GS18087T_chr6_75851486,517,IMPG1_chr6_75851486_right_one_HPV16_3172,GS18087T_IMPG1_chr6_75851486_HPV16_3172
GS18087T,FILIP1,chr6,75851486,HPV16,3172,E2,338,179,+,-,CTAT_VIF,left_two,neargenes,GS18087T_HPV16,GS18087T_FILIP1,GS18087T_chr6_75851486,517,FILIP1_chr6_75851486_left_two_HPV16_3172,GS18087T_FILIP1_chr6_75851486_HPV16_3172
GS18087T,HTR1B,chr6,75851486,HPV16,3172,E2,338,179,+,-,CTAT_VIF,right_two,neargenes,GS18087T_HPV16,GS18087T_HTR1B,GS18087T_chr6_75851486,517,HTR1B_chr6_75851486_right_two_HPV16_3172,GS18087T_HTR1B_chr6_75851486_HPV16_3172
GS18087T,MYO6,chr6,75851909,HPV16,4901,L2,17,18,+,-,CTAT_VIF,integration,neargenes,GS18087T_HPV16,GS18087T_MYO6,GS18087T_chr6_75851909,35,MYO6_chr6_75851909_integration_HPV16_4901,GS18087T_MYO6_chr6_75851909_HPV16_4901
GS18087T,SENP6,chr6,75851909,HPV16,4901,L2,17,18,+,-,CTAT_VIF,left_one,neargenes,GS18087T_HPV16,GS18087T_SENP6,GS18087T_chr6_75851909,35,SENP6_chr6_75851909_left_one_HPV16_4901,GS18087T_SENP6_chr6_75851909_HPV16_4901
GS18087T,IMPG1,chr6,75851909,HPV16,4901,L2,17,18,+,-,CTAT_VIF,right_one,neargenes,GS18087T_HPV16,GS18087T_IMPG1,GS18087T_chr6_75851909,35,IMPG1_chr6_75851909_right_one_HPV16_4901,GS18087T_IMPG1_chr6_75851909_HPV16_4901
GS18087T,FILIP1,chr6,75851909,HPV16,4901,L2,17,18,+,-,CTAT_VIF,left_two,neargenes,GS18087T_HPV16,GS18087T_FILIP1,GS18087T_chr6_75851909,35,FILIP1_chr6_75851909_left_two_HPV16_4901,GS18087T_FILIP1_chr6_75851909_HPV16_4901
GS18087T,HTR1B,chr6,75851909,HPV16,4901,L2,17,18,+,-,CTAT_VIF,right_two,neargenes,GS18087T_HPV16,GS18087T_HTR1B,GS18087T_chr6_75851909,35,HTR1B_chr6_75851909_right_two_HPV16_4901,GS18087T_HTR1B_chr6_75851909_HPV16_4901
GS18026T,UST,chr6,149118491,HPV16,2071,E1,1,4,+,+,CTAT_VIF,integration,neargenes,GS18026T_HPV16,GS18026T_UST,GS18026T_chr6_149118491,5,UST_chr6_149118491_integration_HPV16_2071,GS18026T_UST_chr6_149118491_HPV16_2071
GS18026T,UST-AS1,chr6,149118491,HPV16,2071,E1,1,4,+,+,CTAT_VIF,left_one,neargenes,GS18026T_HPV16,GS18026T_UST-AS1,GS18026T_chr6_149118491,5,UST-AS1_chr6_149118491_left_one_HPV16_2071,GS18026T_UST-AS1_chr6_149118491_HPV16_2071
GS18026T,TAB2,chr6,149118491,HPV16,2071,E1,1,4,+,+,CTAT_VIF,right_one,neargenes,GS18026T_HPV16,GS18026T_TAB2,GS18026T_chr6_149118491,5,TAB2_chr6_149118491_right_one_HPV16_2071,GS18026T_TAB2_chr6_149118491_HPV16_2071
GS18026T,SUMO4,chr6,149118491,HPV16,2071,E1,1,4,+,+,CTAT_VIF,left_two,neargenes,GS18026T_HPV16,GS18026T_SUMO4,GS18026T_chr6_149118491,5,SUMO4_chr6_149118491_left_two_HPV16_2071,GS18026T_SUMO4_chr6_149118491_HPV16_2071
GS18026T,SASH1,chr6,149118491,HPV16,2071,E1,1,4,+,+,CTAT_VIF,right_two,neargenes,GS18026T_HPV16,GS18026T_SASH1,GS18026T_chr6_149118491,5,SASH1_chr6_149118491_right_two_HPV16_2071,GS18026T_SASH1_chr6_149118491_HPV16_2071
TCGA-CV-6939-01A,SLC25A13,chr7,96153917,HPV33,3252,E2,41,2,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SLC25A13,TCGA-CV-6939-01A_chr7_96153917,43,SLC25A13_chr7_96153917_integration_HPV33_3252,TCGA-CV-6939-01A_SLC25A13_chr7_96153917_HPV33_3252
TCGA-CV-6939-01A,DYNC1I1,chr7,96153917,HPV33,3252,E2,41,2,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_DYNC1I1,TCGA-CV-6939-01A_chr7_96153917,43,DYNC1I1_chr7_96153917_left_one_HPV33_3252,TCGA-CV-6939-01A_DYNC1I1_chr7_96153917_HPV33_3252
TCGA-CV-6939-01A,MIR591,chr7,96153917,HPV33,3252,E2,41,2,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_MIR591,TCGA-CV-6939-01A_chr7_96153917,43,MIR591_chr7_96153917_right_one_HPV33_3252,TCGA-CV-6939-01A_MIR591_chr7_96153917_HPV33_3252
TCGA-CV-6939-01A,PDK4,chr7,96153917,HPV33,3252,E2,41,2,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_PDK4,TCGA-CV-6939-01A_chr7_96153917,43,PDK4_chr7_96153917_left_two_HPV33_3252,TCGA-CV-6939-01A_PDK4_chr7_96153917_HPV33_3252
TCGA-CV-6939-01A,ASB4,chr7,96153917,HPV33,3252,E2,41,2,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_ASB4,TCGA-CV-6939-01A_chr7_96153917,43,ASB4_chr7_96153917_right_two_HPV33_3252,TCGA-CV-6939-01A_ASB4_chr7_96153917_HPV33_3252
TCGA-CV-6939-01A,SEM1,chr7,96622644,HPV33,895,E1,69,22,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SEM1,TCGA-CV-6939-01A_chr7_96622644,91,SEM1_chr7_96622644_integration_HPV33_895,TCGA-CV-6939-01A_SEM1_chr7_96622644_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96622644,HPV33,895,E1,69,22,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96622644,91,unknown_chr7_96622644_left_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96622644_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96622644,HPV33,895,E1,69,22,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96622644,91,unknown_chr7_96622644_right_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96622644_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96622644,HPV33,895,E1,69,22,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96622644,91,unknown_chr7_96622644_left_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96622644_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96622644,HPV33,895,E1,69,22,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96622644,91,unknown_chr7_96622644_right_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96622644_HPV33_895
TCGA-CV-6939-01A,SEM1,chr7,96645937,HPV33,895,E1,147,13,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SEM1,TCGA-CV-6939-01A_chr7_96645937,160,SEM1_chr7_96645937_integration_HPV33_895,TCGA-CV-6939-01A_SEM1_chr7_96645937_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96645937,HPV33,895,E1,147,13,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96645937,160,unknown_chr7_96645937_left_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96645937_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96645937,HPV33,895,E1,147,13,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96645937,160,unknown_chr7_96645937_right_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96645937_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96645937,HPV33,895,E1,147,13,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96645937,160,unknown_chr7_96645937_left_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96645937_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96645937,HPV33,895,E1,147,13,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96645937,160,unknown_chr7_96645937_right_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96645937_HPV33_895
TCGA-CV-6939-01A,SEM1,chr7,96650520,HPV33,895,E1,33,6,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SEM1,TCGA-CV-6939-01A_chr7_96650520,39,SEM1_chr7_96650520_integration_HPV33_895,TCGA-CV-6939-01A_SEM1_chr7_96650520_HPV33_895
TCGA-CV-6939-01A,DLX6-AS1,chr7,96650520,HPV33,895,E1,33,6,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_DLX6-AS1,TCGA-CV-6939-01A_chr7_96650520,39,DLX6-AS1_chr7_96650520_left_one_HPV33_895,TCGA-CV-6939-01A_DLX6-AS1_chr7_96650520_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96650520,HPV33,895,E1,33,6,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96650520,39,unknown_chr7_96650520_right_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96650520_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96650520,HPV33,895,E1,33,6,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96650520,39,unknown_chr7_96650520_left_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96650520_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96650520,HPV33,895,E1,33,6,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96650520,39,unknown_chr7_96650520_right_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96650520_HPV33_895
TCGA-CV-6939-01A,SEM1,chr7,96653216,HPV33,895,E1,25,3,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SEM1,TCGA-CV-6939-01A_chr7_96653216,28,SEM1_chr7_96653216_integration_HPV33_895,TCGA-CV-6939-01A_SEM1_chr7_96653216_HPV33_895
TCGA-CV-6939-01A,DLX6-AS1,chr7,96653216,HPV33,895,E1,25,3,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_DLX6-AS1,TCGA-CV-6939-01A_chr7_96653216,28,DLX6-AS1_chr7_96653216_left_one_HPV33_895,TCGA-CV-6939-01A_DLX6-AS1_chr7_96653216_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96653216,HPV33,895,E1,25,3,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96653216,28,unknown_chr7_96653216_right_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96653216_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96653216,HPV33,895,E1,25,3,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96653216,28,unknown_chr7_96653216_left_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96653216_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96653216,HPV33,895,E1,25,3,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96653216,28,unknown_chr7_96653216_right_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96653216_HPV33_895
TCGA-CV-6939-01A,SEM1,chr7,96656586,HPV33,895,E1,19,6,+,-,CTAT_VIF,integration,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_SEM1,TCGA-CV-6939-01A_chr7_96656586,25,SEM1_chr7_96656586_integration_HPV33_895,TCGA-CV-6939-01A_SEM1_chr7_96656586_HPV33_895
TCGA-CV-6939-01A,DLX6-AS1,chr7,96656586,HPV33,895,E1,19,6,+,-,CTAT_VIF,left_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_DLX6-AS1,TCGA-CV-6939-01A_chr7_96656586,25,DLX6-AS1_chr7_96656586_left_one_HPV33_895,TCGA-CV-6939-01A_DLX6-AS1_chr7_96656586_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96656586,HPV33,895,E1,19,6,+,-,CTAT_VIF,right_one,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96656586,25,unknown_chr7_96656586_right_one_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96656586_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96656586,HPV33,895,E1,19,6,+,-,CTAT_VIF,left_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96656586,25,unknown_chr7_96656586_left_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96656586_HPV33_895
TCGA-CV-6939-01A,unknown,chr7,96656586,HPV33,895,E1,19,6,+,-,CTAT_VIF,right_two,neargenes,TCGA-CV-6939-01A_HPV33,TCGA-CV-6939-01A_unknown,TCGA-CV-6939-01A_chr7_96656586,25,unknown_chr7_96656586_right_two_HPV33_895,TCGA-CV-6939-01A_unknown_chr7_96656586_HPV33_895
GS18035T,GALNT11,chr7,152107202,HPV16,5908,L1,34,26,+,+,CTAT_VIF,integration,neargenes,GS18035T_HPV16,GS18035T_GALNT11,GS18035T_chr7_152107202,60,GALNT11_chr7_152107202_integration_HPV16_5908,GS18035T_GALNT11_chr7_152107202_HPV16_5908
GS18035T,GALNTL5,chr7,152107202,HPV16,5908,L1,34,26,+,+,CTAT_VIF,left_one,neargenes,GS18035T_HPV16,GS18035T_GALNTL5,GS18035T_chr7_152107202,60,GALNTL5_chr7_152107202_left_one_HPV16_5908,GS18035T_GALNTL5_chr7_152107202_HPV16_5908
GS18035T,KMT2C,chr7,152107202,HPV16,5908,L1,34,26,+,+,CTAT_VIF,right_one,neargenes,GS18035T_HPV16,GS18035T_KMT2C,GS18035T_chr7_152107202,60,KMT2C_chr7_152107202_right_one_HPV16_5908,GS18035T_KMT2C_chr7_152107202_HPV16_5908
GS18035T,LINC01003,chr7,152107202,HPV16,5908,L1,34,26,+,+,CTAT_VIF,left_two,neargenes,GS18035T_HPV16,GS18035T_LINC01003,GS18035T_chr7_152107202,60,LINC01003_chr7_152107202_left_two_HPV16_5908,GS18035T_LINC01003_chr7_152107202_HPV16_5908
GS18035T,PRKAG2-AS1,chr7,152107202,HPV16,5908,L1,34,26,+,+,CTAT_VIF,right_two,neargenes,GS18035T_HPV16,GS18035T_PRKAG2-AS1,GS18035T_chr7_152107202,60,PRKAG2-AS1_chr7_152107202_right_two_HPV16_5908,GS18035T_PRKAG2-AS1_chr7_152107202_HPV16_5908
GS18069T,CASC21,chr8,127323161,HPV16,875,E1,1,4,+,-,CTAT_VIF,integration,neargenes,GS18069T_HPV16,GS18069T_CASC21,GS18069T_chr8_127323161,5,CASC21_chr8_127323161_integration_HPV16_875,GS18069T_CASC21_chr8_127323161_HPV16_875
GS18069T,CASC8,chr8,127323161,HPV16,875,E1,1,4,+,-,CTAT_VIF,left_one,neargenes,GS18069T_HPV16,GS18069T_CASC8,GS18069T_chr8_127323161,5,CASC8_chr8_127323161_left_one_HPV16_875,GS18069T_CASC8_chr8_127323161_HPV16_875
GS18069T,CCAT2,chr8,127323161,HPV16,875,E1,1,4,+,-,CTAT_VIF,right_one,neargenes,GS18069T_HPV16,GS18069T_CCAT2,GS18069T_chr8_127323161,5,CCAT2_chr8_127323161_right_one_HPV16_875,GS18069T_CCAT2_chr8_127323161_HPV16_875
GS18069T,CCAT1,chr8,127323161,HPV16,875,E1,1,4,+,-,CTAT_VIF,left_two,neargenes,GS18069T_HPV16,GS18069T_CCAT1,GS18069T_chr8_127323161,5,CCAT1_chr8_127323161_left_two_HPV16_875,GS18069T_CCAT1_chr8_127323161_HPV16_875
GS18069T,CASC19,chr8,127323161,HPV16,875,E1,1,4,+,-,CTAT_VIF,right_two,neargenes,GS18069T_HPV16,GS18069T_CASC19,GS18069T_chr8_127323161,5,CASC19_chr8_127323161_right_two_HPV16_875,GS18069T_CASC19_chr8_127323161_HPV16_875
GS18069T,CASC21,chr8,127372396,HPV16,1943,E1,47,10,+,-,CTAT_VIF,integration,neargenes,GS18069T_HPV16,GS18069T_CASC21,GS18069T_chr8_127372396,57,CASC21_chr8_127372396_integration_HPV16_1943,GS18069T_CASC21_chr8_127372396_HPV16_1943
GS18069T,CASC8,chr8,127372396,HPV16,1943,E1,47,10,+,-,CTAT_VIF,left_one,neargenes,GS18069T_HPV16,GS18069T_CASC8,GS18069T_chr8_127372396,57,CASC8_chr8_127372396_left_one_HPV16_1943,GS18069T_CASC8_chr8_127372396_HPV16_1943
GS18069T,CCAT2,chr8,127372396,HPV16,1943,E1,47,10,+,-,CTAT_VIF,right_one,neargenes,GS18069T_HPV16,GS18069T_CCAT2,GS18069T_chr8_127372396,57,CCAT2_chr8_127372396_right_one_HPV16_1943,GS18069T_CCAT2_chr8_127372396_HPV16_1943
GS18069T,CCAT1,chr8,127372396,HPV16,1943,E1,47,10,+,-,CTAT_VIF,left_two,neargenes,GS18069T_HPV16,GS18069T_CCAT1,GS18069T_chr8_127372396,57,CCAT1_chr8_127372396_left_two_HPV16_1943,GS18069T_CCAT1_chr8_127372396_HPV16_1943
GS18069T,CASC19,chr8,127372396,HPV16,1943,E1,47,10,+,-,CTAT_VIF,right_two,neargenes,GS18069T_HPV16,GS18069T_CASC19,GS18069T_chr8_127372396,57,CASC19_chr8_127372396_right_two_HPV16_1943,GS18069T_CASC19_chr8_127372396_HPV16_1943
GS18069T,CCAT2,chr8,127406440,HPV16,1953,E1,7,5,+,-,CTAT_VIF,integration,neargenes,GS18069T_HPV16,GS18069T_CCAT2,GS18069T_chr8_127406440,12,CCAT2_chr8_127406440_integration_HPV16_1953,GS18069T_CCAT2_chr8_127406440_HPV16_1953
GS18069T,CASC21,chr8,127406440,HPV16,1953,E1,7,5,+,-,CTAT_VIF,left_one,neargenes,GS18069T_HPV16,GS18069T_CASC21,GS18069T_chr8_127406440,12,CASC21_chr8_127406440_left_one_HPV16_1953,GS18069T_CASC21_chr8_127406440_HPV16_1953
GS18069T,CASC8,chr8,127406440,HPV16,1953,E1,7,5,+,-,CTAT_VIF,right_one,neargenes,GS18069T_HPV16,GS18069T_CASC8,GS18069T_chr8_127406440,12,CASC8_chr8_127406440_right_one_HPV16_1953,GS18069T_CASC8_chr8_127406440_HPV16_1953
GS18069T,CASC11,chr8,127406440,HPV16,1953,E1,7,5,+,-,CTAT_VIF,left_two,neargenes,GS18069T_HPV16,GS18069T_CASC11,GS18069T_chr8_127406440,12,CASC11_chr8_127406440_left_two_HPV16_1953,GS18069T_CASC11_chr8_127406440_HPV16_1953
GS18069T,CCAT1,chr8,127406440,HPV16,1953,E1,7,5,+,-,CTAT_VIF,right_two,neargenes,GS18069T_HPV16,GS18069T_CCAT1,GS18069T_chr8_127406440,12,CCAT1_chr8_127406440_right_two_HPV16_1953,GS18069T_CCAT1_chr8_127406440_HPV16_1953
GS18074T,PVT1,chr8,127781421,HPV16,1806,E1,12,14,+,-,CTAT_VIF,integration,neargenes,GS18074T_HPV16,GS18074T_PVT1,GS18074T_chr8_127781421,26,PVT1_chr8_127781421_integration_HPV16_1806,GS18074T_PVT1_chr8_127781421_HPV16_1806
GS18074T,MYC,chr8,127781421,HPV16,1806,E1,12,14,+,-,CTAT_VIF,left_one,neargenes,GS18074T_HPV16,GS18074T_MYC,GS18074T_chr8_127781421,26,MYC_chr8_127781421_left_one_HPV16_1806,GS18074T_MYC_chr8_127781421_HPV16_1806
